date(YYYY-m-d),streamflow
2017-11-15,0.552055825
2017-11-16,0.502583524
2017-11-17,0.502583524
2017-11-18,0.502583524
2017-11-19,0.502583524
2017-11-20,0.497115065
2017-11-21,0.467038542
2017-11-22,0.491646607
2017-11-23,0.483443919
2017-11-24,0.458835854
2017-11-25,0.461570084
2017-11-26,0.47797546
2017-11-27,0.497115065
2017-11-28,0.502583524
2017-11-29,0.494380836
2017-11-30,0.450633166
2017-12-01,0.442430478
2017-12-02,0.401171593
2017-12-03,0.396058675
2017-12-04,0.390945757
2017-12-05,0.398615134
2017-12-06,0.385832839
2017-12-07,0.375607002
2017-12-08,0.375607002
2017-12-09,0.344710551
2017-12-10,0.330450651
2017-12-11,0.3185674
2017-12-12,0.3185674
2017-12-13,0.28564848
2017-12-14,0.261877046
2017-12-15,0.253836881
2017-12-16,0.259867005
2017-12-17,0.257856963
2017-12-18,0.265897128
2017-12-19,0.266081682
2017-12-20,0.249816798
2017-12-21,0.255846922
2017-12-22,0.249816798
2017-12-23,0.265897128
2017-12-24,0.29003767
2017-12-25,0.410093517
2017-12-26,0.416510347
2017-12-27,0.314360267
2017-12-28,0.287843075
2017-12-29,0.274675507
2017-12-30,0.274675507
2017-12-31,0.29003767
2018-01-01,3.43631088
2018-01-02,3.532224254
2018-01-03,3.516597859
2018-01-04,3.461905478
2018-01-05,3.422839491
2018-01-06,3.407213097
2018-01-07,3.344707518
2018-01-08,3.344707518
2018-01-09,3.344930459
2018-01-10,3.391586702
2018-01-11,3.344707518
2018-01-12,3.16254136
2018-01-13,3.16254136
2018-01-14,3.125701812
2018-01-15,3.081494354
2018-01-16,3.16254136
2018-01-17,3.385111149
2018-01-18,3.799676819
2018-01-19,3.700995331
2018-01-20,3.524411056
2018-01-21,3.430652689
2018-01-22,3.430652689
2018-01-23,3.337117262
2018-01-24,3.185534477
2018-01-25,3.110965993
2018-01-26,3.007815258
2018-01-27,2.935688331
2018-01-28,2.964273015
2018-01-29,2.892811304
2018-01-30,2.857080448
2018-01-31,2.87137279
2018-02-01,2.87137279
2018-02-02,2.907103646
2018-02-03,2.92854216
2018-02-04,2.914249817
2018-02-05,2.835641934
2018-02-06,2.814203421
2018-02-07,2.786503195
2018-02-08,2.738027799
2018-02-09,2.731102742
2018-02-10,2.814203421
2018-02-11,2.793428251
2018-02-12,2.758802969
2018-02-13,2.814203421
2018-02-14,2.821349592
2018-02-15,2.857080448
2018-02-16,2.892811304
2018-02-17,2.878518961
2018-02-18,2.878518961
2018-02-19,2.907103646
2018-02-20,2.914249817
2018-02-21,3.008480473
2018-02-22,2.971862663
2018-02-23,3.044654806
2018-02-24,3.140437631
2018-02-25,3.110965993
2018-02-26,3.066758535
2018-02-27,3.029918987
2018-02-28,3.104487471
2018-03-01,3.607910925
2018-03-02,3.91577793
2018-03-03,3.700995331
2018-03-04,3.628664869
2018-03-05,8.023118434
2018-03-06,6.236672219
2018-03-07,4.634817504
2018-03-08,4.562421818
2018-03-09,5.365090176
2018-03-10,5.130420316
2018-03-11,4.854948653
2018-03-12,4.479278392
2018-03-13,4.257674983
2018-03-14,4.179279312
2018-03-15,4.249415781
2018-03-16,4.855628881
2018-03-17,4.724631885
2018-03-18,4.353943342
2018-03-19,6.309457728
2018-03-20,9.555183817
2018-03-21,7.083616555
2018-03-22,5.963722648
2018-03-23,5.227724585
2018-03-24,4.752573103
2018-03-25,4.443306783
2018-03-26,4.153147422
2018-03-27,3.982762938
2018-03-28,3.882060785
2018-03-29,3.725105485
2018-03-30,3.516597859
2018-03-31,3.344707518
2018-04-01,3.344707518
2018-04-02,3.26165939
2018-04-03,3.16254136
2018-04-04,4.819030221
2018-04-05,6.946201389
2018-04-06,11.96812904
2018-04-07,11.04801883
2018-04-08,8.825235277
2018-04-09,7.390502105
2018-04-10,6.324053886
2018-04-11,6.929289848
2018-04-12,5.916112573
2018-04-13,5.13110253
2018-04-14,7.855709768
2018-04-15,10.34156795
2018-04-16,8.706353443
2018-04-17,7.647758482
2018-04-18,6.739837751
2018-04-19,5.90168547
2018-04-20,5.227724585
2018-04-21,4.752573103
2018-04-22,4.363331114
2018-04-23,5.672956371
2018-04-24,17.83128893
2018-04-25,15.01554382
2018-04-26,12.59019116
2018-04-27,11.0131112
2018-04-28,9.834479626
2018-04-29,8.693040025
2018-04-30,7.75382948
2018-05-01,7.122491712
2018-05-02,11.37954984
2018-05-03,11.16532297
2018-05-04,9.39395834
2018-05-05,8.095100862
2018-05-06,9.731600666
2018-05-07,10.77407537
2018-05-08,9.314077529
2018-05-09,8.20721219
2018-05-10,7.227173419
2018-05-11,5.826827459
2018-05-12,6.00654638
2018-05-13,11.59860229
2018-05-14,9.884861044
2018-05-15,8.60661738
2018-05-16,7.836998983
2018-05-17,7.756613427
2018-05-18,16.20811614
2018-05-19,19.97211018
2018-05-20,13.30456336
2018-05-21,11.13285998
2018-05-22,10.02438743
2018-05-23,11.33397609
2018-05-24,9.032394104
2018-05-25,6.634076578
2018-05-26,5.442433856
2018-05-27,4.920901136
2018-05-28,4.7078924
2018-05-29,4.266385613
2018-05-30,4.767758908
2018-05-31,4.878037856
2018-06-01,4.15449798
2018-06-02,3.66170639
2018-06-03,3.238443926
2018-06-04,2.805210754
2018-06-05,2.062536463
2018-06-06,2.402790153
2018-06-07,2.042650935
2018-06-08,1.714075017
2018-06-09,1.477700814
2018-06-10,1.302768558
2018-06-11,1.274254574
2018-06-12,1.298016227
2018-06-13,1.274254574
